,date,security,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1468,2015-11-27,NIFTY Index,7910.6,7959.3,7879.45,7942.7
1469,2015-11-30,NIFTY Index,7936.25,7966.0,7922.8,7935.25
1470,2015-12-01,NIFTY Index,7958.15,7972.15,7934.15,7954.9
1471,2015-12-02,NIFTY Index,7976.7,7979.3,7910.8,7931.35
1472,2015-12-03,NIFTY Index,7902.3,7912.3,7853.3,7864.15
1473,2015-12-04,NIFTY Index,7817.6,7821.4,7775.7,7781.9
1474,2015-12-07,NIFTY Index,7816.55,7825.4,7746.05,7765.4
1475,2015-12-08,NIFTY Index,7738.5,7771.25,7685.45,7701.7
1476,2015-12-09,NIFTY Index,7695.5,7702.85,7606.9,7612.5
1477,2015-12-10,NIFTY Index,7643.3,7691.95,7610.0,7683.3
1478,2015-12-11,NIFTY Index,7699.6,7703.05,7575.3,7610.45
1479,2015-12-14,NIFTY Index,7558.2,7663.95,7551.05,7650.05
1480,2015-12-15,NIFTY Index,7659.15,7705.0,7625.1,7700.9
1481,2015-12-16,NIFTY Index,7725.25,7776.6,7715.75,7750.9
1482,2015-12-17,NIFTY Index,7783.05,7852.9,7737.55,7844.35
1483,2015-12-18,NIFTY Index,7828.9,7836.15,7753.35,7761.95
1484,2015-12-21,NIFTY Index,7745.65,7840.75,7733.45,7834.45
1485,2015-12-22,NIFTY Index,7829.4,7846.3,7776.85,7786.1
1486,2015-12-23,NIFTY Index,7830.45,7871.45,7826.1,7865.95
1487,2015-12-24,NIFTY Index,7888.75,7888.75,7835.5,7861.05
1488,2015-12-28,NIFTY Index,7863.2,7937.2,7863.0,7925.15
1489,2015-12-29,NIFTY Index,7929.2,7942.15,7902.75,7928.95
1490,2015-12-30,NIFTY Index,7938.6,7944.75,7889.85,7896.25
1491,2015-12-31,NIFTY Index,7897.8,7955.55,7891.15,7946.35
1492,2016-01-01,NIFTY Index,7938.45,7972.55,7909.8,7963.2
1493,2016-01-04,NIFTY Index,7924.55,7937.55,7781.1,7791.3
1494,2016-01-05,NIFTY Index,7828.4,7831.2,7763.25,7784.65
1495,2016-01-06,NIFTY Index,7788.05,7800.95,7721.2,7741.0
1496,2016-01-07,NIFTY Index,7673.35,7674.95,7556.6,7568.3
1497,2016-01-08,NIFTY Index,7611.65,7634.1,7581.05,7601.35
1498,2016-01-11,NIFTY Index,7527.45,7605.1,7494.35,7563.85
